hs92,hs96,hs02,hs07,hs12,hs17,sitc1,sitc2,sitc3,sitc4,isic2,isic3
010111,010111,010110,010110,010121,010121,0015,0015,00151,0015,1110,0121
010111,010111,010110,010110,010121,010121,0015,0015,00152,0015,1110,0121
010111,010111,010110,010110,010130,010130,0015,0015,00151,0015,1110,0121
010111,010111,010110,010110,010130,010130,0015,0015,00152,0015,1110,0121
010120,010120,010110,010110,010121,010121,0015,0015,00151,0015,1110,0121
010120,010120,010110,010110,010121,010121,0015,0015,00152,0015,1110,0121
010120,010120,010110,010110,010130,010130,0015,0015,00151,0015,1110,0121
010120,010120,010110,010110,010130,010130,0015,0015,00152,0015,1110,0121
010119,010119,010190,010190,010129,010129,0015,0015,00151,0015,1110,0121
010119,010119,010190,010190,010129,010129,0015,0015,00152,0015,1110,0121
010119,010119,010190,010190,010130,010130,0015,0015,00151,0015,1110,0121
010119,010119,010190,010190,010130,010130,0015,0015,00152,0015,1110,0121
010119,010119,010190,010190,010190,010190,0015,0015,00151,0015,1110,0121
010119,010119,010190,010190,010190,010190,0015,0015,00152,0015,1110,0121
010120,010120,010190,010190,010129,010129,0015,0015,00151,0015,1110,0121
010120,010120,010190,010190,010129,010129,0015,0015,00152,0015,1110,0121
010120,010120,010190,010190,010130,010130,0015,0015,00151,0015,1110,0121
010120,010120,010190,010190,010130,010130,0015,0015,00152,0015,1110,0121
010120,010120,010190,010190,010190,010190,0015,0015,00151,0015,1110,0121
010120,010120,010190,010190,010190,010190,0015,0015,00152,0015,1110,0121
010210,010210,010210,010210,010221,010221,0011,00111,00111,00111,1110,0121
010210,010210,010210,010210,010231,010231,0011,00111,00111,00111,1110,0121
010210,010210,010210,010210,010290,010290,0011,00111,00111,00111,1110,0121
010290,010290,010290,010290,010229,010229,0011,00119,00119,00119,1110,0121
010290,010290,010290,010290,010239,010239,0011,00119,00119,00119,1110,0121
010290,010290,010290,010290,010290,010290,0011,00119,00119,00119,1110,0121
010310,010310,010310,010310,010310,010310,0013,0013,00131,00131,1110,0122
010391,010391,010391,010391,010391,010391,0013,0013,00139,00139,1110,0122
010392,010392,010392,010392,010392,010392,0013,0013,00139,00139,1110,0122
010410,010410,010410,010410,010410,010410,0012,00121,00121,00121,1110,0121
010420,010420,010420,010420,010420,010420,0012,00122,00122,00122,1110,0121
010511,010511,010511,010511,010511,010511,0014,00141,00141,00141,1110,0122
010519,010512,010512,010512,010512,010512,0014,00141,00141,00141,1110,0122
010519,010519,010519,010519,010513,010513,0014,00141,00141,00141,1110,0122
010519,010519,010519,010519,010514,010514,0014,00141,00141,00141,1110,0122
010519,010519,010519,010519,010515,010515,0014,00141,00141,00141,1110,0122
010591,010592,010592,010594,010594,010594,0014,00149,00149,00149,1110,0122
010591,010593,010593,010594,010594,010594,0014,00149,00149,00149,1110,0122
010599,010599,010599,010599,010599,010599,0014,00149,00149,00149,1110,0122
010600,010600,010611,010611,010611,010611,0019,0019,0019,0019,1130,0122
010600,010600,010611,010611,010611,010611,9410,9410,0019,0019,1130,0122
010600,010600,010612,010612,010612,010612,0019,0019,0019,0019,1130,0122
010600,010600,010612,010612,010612,010612,9410,9410,0019,0019,1130,0122
010600,010600,010619,010619,010612,010612,0019,0019,0019,0019,1130,0122
010600,010600,010619,010619,010612,010612,9410,9410,0019,0019,1130,0122
010600,010600,010619,010619,010613,010613,0019,0019,0019,0019,1130,0122
010600,010600,010619,010619,010613,010613,9410,9410,0019,0019,1130,0122
010600,010600,010619,010619,010614,010614,0019,0019,0019,0019,1130,0122
010600,010600,010619,010619,010614,010614,9410,9410,0019,0019,1130,0122
010600,010600,010619,010619,010619,010619,0019,0019,0019,0019,1130,0122
010600,010600,010619,010619,010619,010619,9410,9410,0019,0019,1130,0122
010600,010600,010620,010620,010620,010620,0019,0019,0019,0019,1130,0122
010600,010600,010620,010620,010620,010620,9410,9410,0019,0019,1130,0122
010600,010600,010631,010631,010631,010631,0019,0019,0019,0019,1130,0122
010600,010600,010631,010631,010631,010631,9410,9410,0019,0019,1130,0122
010600,010600,010632,010632,010632,010632,0019,0019,0019,0019,1130,0122
010600,010600,010632,010632,010632,010632,9410,9410,0019,0019,1130,0122
010600,010600,010639,010639,010633,010633,0019,0019,0019,0019,1130,0122
010600,010600,010639,010639,010633,010633,9410,9410,0019,0019,1130,0122
010600,010600,010639,010639,010639,010639,0019,0019,0019,0019,1130,0122
010600,010600,010639,010639,010639,010639,9410,9410,0019,0019,1130,0122
010600,010600,010690,010690,010641,010641,0019,0019,0019,0019,1130,0122
010600,010600,010690,010690,010641,010641,9410,9410,0019,0019,1130,0122
010600,010600,010690,010690,010649,010649,0019,0019,0019,0019,1130,0122
010600,010600,010690,010690,010649,010649,9410,9410,0019,0019,1130,0122
010600,010600,010690,010690,010690,010690,0019,0019,0019,0019,1130,0122
010600,010600,010690,010690,010690,010690,9410,9410,0019,0019,1130,0122
020110,020110,020110,020110,020110,020110,0111,01111,01111,01111,3111,1511
020120,020120,020120,020120,020120,020120,0111,01111,01111,01111,3111,1511
020130,020130,020130,020130,020130,020130,0111,01112,01112,01112,3111,1511
020210,020210,020210,020210,020210,020210,0111,01111,01121,01121,3111,1511
020220,020220,020220,020220,020220,020220,0111,01111,01121,01121,3111,1511
020230,020230,020230,020230,020230,020230,0111,01112,01122,01122,3111,1511
020311,020311,020311,020311,020311,020311,0113,0113,01221,01221,3111,1511
020312,020312,020312,020312,020312,020312,0113,0113,01221,01221,3111,1511
020319,020319,020319,020319,020319,020319,0113,0113,01221,01221,3111,1511
020321,020321,020321,020321,020321,020321,0113,0113,01222,01222,3111,1511
020322,020322,020322,020322,020322,020322,0113,0113,01222,01222,3111,1511
020329,020329,020329,020329,020329,020329,0113,0113,01222,01222,3111,1511
020410,020410,020410,020410,020410,020410,0112,0112,01211,01211,3111,1511
020421,020421,020421,020421,020421,020421,0112,0112,01211,01211,3111,1511
020422,020422,020422,020422,020422,020422,0112,0112,01211,01211,3111,1511
020423,020423,020423,020423,020423,020423,0112,0112,01211,01211,3111,1511
020430,020430,020430,020430,020430,020430,0112,0112,01212,01212,3111,1511
020441,020441,020441,020441,020441,020441,0112,0112,01212,01212,3111,1511
020442,020442,020442,020442,020442,020442,0112,0112,01212,01212,3111,1511
020443,020443,020443,020443,020443,020443,0112,0112,01212,01212,3111,1511
020450,020450,020450,020450,020450,020450,0112,0112,01213,01213,3111,1511
020500,020500,020500,020500,020500,020500,0115,0115,0124,0124,3111,1511
020610,020610,020610,020610,020610,020610,0116,0116,01251,01251,3111,1511
020621,020621,020621,020621,020621,020621,0116,0116,01252,01252,3111,1511
020622,020622,020622,020622,020622,020622,0116,0116,01252,01252,3111,1511
020629,020629,020629,020629,020629,020629,0116,0116,01252,01252,3111,1511
020630,020630,020630,020630,020630,020630,0116,0116,01253,01253,3111,1511
020641,020641,020641,020641,020641,020641,0116,0116,01254,01254,3111,1511
020649,020649,020649,020649,020649,020649,0116,0116,01254,01254,3111,1511
020680,020680,020680,020680,020680,020680,0116,0116,01255,01255,3111,1511
020690,020690,020690,020690,020690,020690,0116,0116,01256,01256,3111,1511
020710,020711,020711,020711,020711,020711,0114,0114,01231,01231,3111,1511
020721,020712,020712,020712,020712,020712,0114,0114,01232,01232,3111,1511
020739,020713,020713,020713,020713,020713,0114,0114,01234,01234,3111,1511
020741,020714,020714,020714,020714,020714,0114,0114,01235,01235,3111,1511
020741,020714,020714,020714,020714,020714,01181,01181,01236,01235,3111,1511
020750,020714,020714,020714,020714,020714,0114,0114,01235,01235,3111,1511
020750,020714,020714,020714,020714,020714,01181,01181,01236,01235,3111,1511
020710,020724,020724,020724,020724,020724,0114,0114,01231,01231,3111,1511
020722,020725,020725,020725,020725,020725,0114,0114,01232,01232,3111,1511
020739,020726,020726,020726,020726,020726,0114,0114,01234,01234,3111,1511
020742,020727,020727,020727,020727,020727,0114,0114,01235,01235,3111,1511
020742,020727,020727,020727,020727,020727,01181,01181,01236,01235,3111,1511
020750,020727,020727,020727,020727,020727,0114,0114,01235,01235,3111,1511
020750,020727,020727,020727,020727,020727,01181,01181,01236,01235,3111,1511
020710,020732,020732,020732,020741,020741,0114,0114,01231,01231,3111,1511
020710,020732,020732,020732,020751,020751,0114,0114,01231,01231,3111,1511
020710,020732,020732,020732,020760,020760,0114,0114,01231,01231,3111,1511
020723,020733,020733,020733,020742,020742,0114,0114,01232,01232,3111,1511
